Frames,Invar,Pdr_solve,blockCube,ensureFrames,ensureFrames_Invar,generalize,pushClauses,pushClauses.Pdr_ManCheckCube,run,solverAddClause,Frames_q,Invar_q,Pdr_solve_q,blockCube_q,ensureFrames_q,ensureFrames_Invar_q,generalize_q,pushClauses_q,pushClauses.Pdr_ManCheckCube_q,run_q,solverAddClause_q,Frames_r,Invar_r,Pdr_solve_r,blockCube_r,ensureFrames_r,ensureFrames_Invar_r,generalize_r,pushClauses_r,pushClauses.Pdr_ManCheckCube_r,run_r,solverAddClause_r
5.0,nan,0.26,0.24,0.01,nan,0.21,0.01,0.01,0.28,0.0,5.0,nan,0.26,0.24,0.01,nan,0.21,0.01,0.01,0.28,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
5.0,nan,3.31,3.23,0.02,nan,3.11,0.06,0.06,3.33,0.0,5.0,nan,3.32,3.23,0.02,nan,3.12,0.05,0.05,3.33,0.0,1.0,nan,1.0030211480362536,1.0,1.0,nan,1.0032154340836013,0.8333333333333334,0.8333333333333334,1.0,nan
14.0,nan,1.67,1.56,0.01,nan,1.4,0.09,0.09,1.69,0.0,12.0,nan,1.31,1.21,0.01,nan,1.08,0.08,0.08,1.32,0.0,0.8571428571428571,nan,0.784431137724551,0.7756410256410255,1.0,nan,0.7714285714285716,0.888888888888889,0.888888888888889,0.7810650887573966,nan
5.0,nan,3.54,3.48,0.02,nan,3.35,0.04,0.04,3.56,0.0,5.0,nan,3.55,3.49,0.02,nan,3.35,0.04,0.04,3.57,0.0,1.0,nan,1.002824858757062,1.002873563218391,1.0,nan,1.0,1.0,1.0,1.0028089887640448,nan
7.0,3.0,1.5,1.43,0.01,nan,1.39,0.06,0.06,1.52,0.0,7.0,3.0,1.51,1.44,0.01,nan,1.4,0.06,0.06,1.53,0.0,1.0,1.0,1.0066666666666666,1.006993006993007,1.0,nan,1.0071942446043165,1.0,1.0,1.006578947368421,nan
23.0,149.0,136.34,128.9,0.02,0.0,120.61,7.4,7.18,136.35,0.34,23.0,80.0,76.9,72.62,0.01,0.0,67.97,4.25,4.17,76.91,0.2,1.0,0.5369127516778524,0.5640310987237788,0.5633824670287044,0.5,nan,0.563551944283227,0.5743243243243243,0.5807799442896936,0.5640630729739641,0.5882352941176471
42.0,343.0,475.79,359.5,0.16,nan,340.55,115.96,115.81,475.85,0.2,33.0,341.0,451.16,356.15,0.17,nan,337.47,94.7,94.58,451.22,0.18,0.7857142857142857,0.9941690962099126,0.9482334643435129,0.9906815020862308,1.0625,nan,0.990955806783145,0.8166609175577786,0.8166824971936792,0.9482399915939898,0.8999999999999999
17.0,152.0,6.51,5.07,0.01,0.0,4.44,1.43,1.41,6.52,0.02,18.0,156.0,6.37,5.01,0.01,0.0,4.4,1.36,1.34,6.39,0.02,1.0588235294117647,1.0263157894736843,0.978494623655914,0.9881656804733727,1.0,nan,0.990990990990991,0.9510489510489512,0.9503546099290782,0.9800613496932515,1.0
16.0,78.0,2.95,2.35,0.01,0.0,2.02,0.59,0.58,2.96,0.01,15.0,76.0,2.5,1.91,0.01,0.0,1.63,0.58,0.57,2.51,0.01,0.9375,0.9743589743589743,0.847457627118644,0.8127659574468085,1.0,nan,0.8069306930693069,0.983050847457627,0.9827586206896551,0.8479729729729729,1.0
31.0,365.0,1758.3,1726.87,0.02,0.0,1524.34,31.41,30.19,1758.31,7.77,28.0,429.0,1760.42,1697.43,0.02,0.0,1530.74,62.96,58.68,1760.44,8.07,0.9032258064516129,1.1753424657534246,1.0012057100608542,0.9829518145546567,1.0,nan,1.0041985383838252,2.0044571792422796,1.943689963564094,1.001211390482907,1.0386100386100388
6.0,nan,1784.9,1784.8,0.03,nan,1721.86,0.03,0.03,1784.92,0.51,6.0,nan,1785.89,1785.8,0.03,nan,1724.22,0.03,0.03,1785.91,0.5,1.0,nan,1.0005546529217324,1.000560286866876,1.0,nan,1.0013706108510565,1.0,1.0,1.0005546467068551,0.9803921568627451
14.0,nan,6.8,6.65,0.01,nan,6.09,0.12,0.12,6.81,0.01,18.0,3.0,12.49,11.56,0.01,0.0,10.7,0.9,0.89,12.51,0.03,1.2857142857142858,nan,1.836764705882353,1.738345864661654,1.0,nan,1.7569786535303775,7.500000000000001,7.416666666666667,1.8370044052863437,3.0
12.0,1.0,0.59,0.53,0.01,0.0,0.4,0.05,0.05,0.6,0.0,16.0,11.0,2.2,2.03,0.01,0.0,1.69,0.16,0.15,2.21,0.01,1.3333333333333333,11.0,3.728813559322034,3.8301886792452824,1.0,nan,4.225,3.1999999999999997,2.9999999999999996,3.6833333333333336,nan
42.0,174.0,1776.02,1375.82,0.03,0.01,1255.09,400.14,390.57,1776.04,8.0,15.0,19.0,2.46,2.22,0.01,nan,2.01,0.22,0.22,2.48,0.0,0.35714285714285715,0.10919540229885058,0.0013851195369421515,0.001613583172217296,0.33333333333333337,nan,0.001601478778414297,0.000549807567351427,0.0005632793097268096,0.001396364946735434,0.0
50.0,3662.0,586.6,428.8,0.25,0.11,391.1,157.68,155.13,586.66,9.68,50.0,3756.0,579.12,420.16,0.25,0.1,382.43,158.83,156.04,579.17,9.33,1.0,1.0256690333151284,0.9872485509717013,0.9798507462686568,1.0,0.9090909090909092,0.9778317565839938,1.0072932521562659,1.0058660478308514,0.9872328094637439,0.9638429752066116
63.0,2842.0,249.85,173.89,0.07,0.04,156.51,75.94,73.82,249.86,2.49,47.0,1349.0,99.35,72.69,0.03,0.01,64.43,26.64,26.04,99.36,0.82,0.746031746031746,0.4746657283603096,0.3976385831498899,0.41802288803266435,0.4285714285714285,0.25,0.4116669861350713,0.3508032657361075,0.35274993226767815,0.3976626911070199,0.32931726907630515
22.0,180.0,176.07,165.68,0.02,0.0,149.73,10.38,10.19,176.09,0.49,22.0,180.0,175.76,165.32,0.02,0.0,149.67,10.42,10.22,175.77,0.48,1.0,1.0,0.9982393366274777,0.9978271366489617,1.0,nan,0.999599278701663,1.003853564547206,1.0029440628066733,0.998182747458686,0.9795918367346939
19.0,45.0,2.23,1.74,0.01,0.0,1.5,0.49,0.48,2.25,0.01,30.0,82.0,13.22,8.21,0.02,0.0,6.87,5.0,4.95,13.23,0.05,1.5789473684210527,1.8222222222222222,5.928251121076234,4.718390804597702,2.0,nan,4.58,10.204081632653061,10.3125,5.88,5.0
7.0,nan,1792.6,1788.27,0.02,nan,1754.8,4.25,4.2,1792.62,0.34,7.0,nan,1792.67,1788.36,0.02,nan,1757.64,4.23,4.17,1792.69,0.31,1.0,nan,1.0000390494254157,1.0000503279706083,1.0,nan,1.0016184180533394,0.9952941176470589,0.9928571428571428,1.000039048989747,0.9117647058823529
33.0,nan,1791.24,1465.4,0.03,nan,1430.47,325.8,320.49,1791.25,2.18,30.0,1678.0,1616.84,1372.52,0.02,nan,1341.04,244.29,240.06,1616.86,2.04,0.9090909090909091,nan,0.9026372792032334,0.9366179882625904,0.6666666666666667,nan,0.9374820863072976,0.7498158379373848,0.749040531685856,0.9026434054431263,0.9357798165137614
18.0,26.0,4.93,4.59,0.01,nan,4.14,0.31,0.31,4.94,0.01,18.0,28.0,4.76,4.43,0.01,nan,3.98,0.31,0.3,4.77,0.01,1.0,1.0769230769230769,0.9655172413793104,0.9651416122004357,1.0,nan,0.961352657004831,1.0,0.9677419354838709,0.9655870445344128,1.0
11.0,80.0,7.07,6.3,0.01,0.0,5.5,0.76,0.75,7.09,0.01,11.0,80.0,7.0,6.22,0.01,0.0,5.43,0.77,0.76,7.01,0.01,1.0,1.0,0.9900990099009901,0.9873015873015872,1.0,nan,0.9872727272727272,1.013157894736842,1.0133333333333334,0.9887165021156559,1.0
44.0,648.0,1763.25,1408.49,0.04,0.02,1242.48,354.72,330.36,1763.26,12.37,36.0,688.0,1758.91,1487.41,0.02,0.01,1335.87,271.48,248.73,1758.93,11.26,0.8181818181818182,1.0617283950617284,0.9975386360414009,1.0560316367173357,0.5,0.5,1.0751641877535252,0.7653360396932792,0.7529059208136578,0.9975443213139299,0.910266774454325
5.0,nan,12.31,12.23,0.02,nan,11.93,0.06,0.06,12.33,0.0,5.0,nan,12.31,12.22,0.02,nan,11.92,0.06,0.06,12.33,0.0,1.0,nan,1.0,0.9991823385118561,1.0,nan,0.9991617770326907,1.0,1.0,1.0,nan
14.0,26.0,0.74,0.68,0.01,0.0,0.54,0.05,0.05,0.75,0.0,16.0,28.0,0.78,0.68,0.01,0.0,0.55,0.09,0.09,0.8,0.0,1.1428571428571428,1.0769230769230769,1.0540540540540542,1.0,1.0,nan,1.0185185185185186,1.7999999999999998,1.7999999999999998,1.0666666666666667,nan
11.0,nan,0.26,0.21,0.01,nan,0.18,0.04,0.03,0.28,0.0,10.0,nan,0.24,0.21,0.01,nan,0.17,0.03,0.03,0.26,0.0,0.9090909090909091,nan,0.923076923076923,1.0,1.0,nan,0.9444444444444445,0.75,1.0,0.9285714285714285,nan
5.0,nan,4.84,4.78,0.02,nan,4.59,0.04,0.04,4.86,0.0,5.0,nan,4.84,4.78,0.02,nan,4.59,0.04,0.04,4.86,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
27.0,58.0,5.52,3.58,0.01,0.0,2.86,1.94,1.91,5.53,0.02,19.0,51.0,2.63,2.05,0.01,0.0,1.69,0.57,0.56,2.64,0.01,0.7037037037037037,0.8793103448275862,0.47644927536231885,0.5726256983240223,1.0,nan,0.5909090909090909,0.2938144329896907,0.29319371727748694,0.47739602169981915,0.5
7.0,nan,0.04,0.03,0.01,nan,0.02,0.0,0.0,0.06,0.0,7.0,nan,0.07,0.06,0.01,nan,0.04,0.01,0.01,0.08,0.0,1.0,nan,1.7500000000000002,2.0,1.0,nan,2.0,nan,nan,1.3333333333333335,nan
33.0,747.0,944.59,808.25,0.08,0.0,783.83,136.23,135.82,944.63,1.55,30.0,636.0,777.02,662.01,0.09,0.0,642.26,114.9,114.58,777.05,1.05,0.9090909090909091,0.8514056224899599,0.8226002816036587,0.8190658830807299,1.125,nan,0.8193868568439585,0.8434265580268664,0.8436165513179208,0.8225972073721985,0.6774193548387097
27.0,625.0,779.0,680.85,0.07,0.0,659.74,98.04,97.8,779.03,0.99,40.0,747.0,1031.24,849.22,0.09,0.0,824.32,181.9,181.39,1031.28,1.58,1.4814814814814814,1.1952,1.3237997432605906,1.2472938238965998,1.2857142857142856,nan,1.249461909236972,1.8553651570787433,1.8547034764826176,1.3238001103936947,1.595959595959596
25.0,1050.0,1787.19,1624.73,0.07,0.01,1473.51,162.35,159.56,1787.22,5.23,25.0,1050.0,1787.12,1625.0,0.07,0.01,1473.78,162.02,159.24,1787.15,5.23,1.0,1.0,0.9999608323681309,1.0001661814578422,1.0,1.0,1.0001832359468208,0.9979673544810596,0.9979944848332916,0.9999608330255929,1.0
18.0,460.0,1788.17,1661.98,0.06,0.0,1508.06,126.11,123.64,1788.21,2.68,17.0,683.0,1788.58,1669.05,0.07,0.0,1535.07,119.45,117.17,1788.62,2.54,0.9444444444444444,1.4847826086956522,1.0002292846876975,1.004253962141542,1.1666666666666667,nan,1.017910427967057,0.9471889620172865,0.9476706567453899,1.0002292795588885,0.9477611940298507
20.0,81.0,1.05,0.78,0.01,0.0,0.66,0.27,0.26,1.07,0.01,25.0,82.0,1.09,0.76,0.01,0.0,0.64,0.33,0.32,1.11,0.01,1.25,1.0123456790123457,1.0380952380952382,0.9743589743589743,1.0,nan,0.9696969696969697,1.222222222222222,1.2307692307692308,1.0373831775700935,1.0
41.0,2663.0,1786.69,1367.42,0.08,0.03,1220.79,419.19,414.85,1786.72,12.82,35.0,2366.0,1787.67,1412.72,0.07,0.02,1276.87,374.89,370.67,1787.7,10.72,0.8536585365853658,0.8884716485167105,1.0005485002994363,1.0331280806189758,0.8750000000000001,0.6666666666666667,1.0459374667223682,0.8943199980915575,0.8935036760274798,1.0005484910898181,0.8361934477379096
7.0,nan,4.03,3.92,0.01,nan,3.63,0.1,0.1,4.05,0.0,7.0,nan,4.0,3.89,0.01,nan,3.61,0.1,0.1,4.02,0.0,1.0,nan,0.9925558312655086,0.9923469387755103,1.0,nan,0.9944903581267217,1.0,1.0,0.9925925925925926,nan
23.0,1266.0,223.64,178.3,0.05,0.03,171.71,45.31,44.85,223.65,1.53,23.0,1271.0,222.65,178.28,0.05,0.03,171.07,44.34,43.89,222.66,1.52,1.0,1.003949447077409,0.9955732427115007,0.9998878295008412,1.0,1.0,0.9962727855104536,0.9785919223129552,0.9785953177257525,0.9955734406438631,0.9934640522875817
4.0,nan,0.05,0.03,0.01,nan,0.03,0.0,0.0,0.07,0.0,4.0,nan,0.05,0.03,0.01,nan,0.03,0.0,0.0,0.06,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,0.857142857142857,nan
20.0,5800.0,1592.96,1171.85,0.01,nan,1140.39,421.09,407.85,1592.97,0.86,20.0,5877.0,1600.95,1177.43,0.01,nan,1145.68,423.51,410.3,1600.97,0.87,1.0,1.0132758620689655,1.0050158196062675,1.0047617015829673,1.0,nan,1.0046387639316374,1.0057469899546416,1.0060071104572759,1.0050220657011746,1.0116279069767442
37.0,11.0,1761.68,1452.01,0.02,0.0,1229.72,309.63,286.54,1761.69,4.09,28.0,3.0,1764.14,1470.23,0.01,0.0,1282.16,293.88,275.67,1764.16,3.18,0.7567567567567568,0.2727272727272727,1.001396394350847,1.0125481229468116,0.5,nan,1.0426438538854375,0.9491328359655072,0.962064633210023,1.0014020627919782,0.7775061124694377
12.0,16.0,0.97,0.9,0.01,0.0,0.78,0.06,0.06,0.98,0.0,12.0,16.0,0.99,0.92,0.01,0.0,0.8,0.06,0.06,1.0,0.0,1.0,1.0,1.0206185567010309,1.0222222222222221,1.0,nan,1.0256410256410258,1.0,1.0,1.0204081632653061,nan
26.0,805.0,1788.1,1551.5,0.06,0.01,1403.21,236.52,231.65,1788.13,4.16,24.0,918.0,1788.04,1625.38,0.06,0.01,1452.79,162.58,159.82,1788.07,4.85,0.9230769230769231,1.1403726708074535,0.9999664448297075,1.0476184337737673,1.0,1.0,1.0353332715701855,0.6873837307627262,0.6899201381394344,0.9999664453926727,1.1658653846153846
8.0,nan,0.13,0.1,0.01,nan,0.07,0.02,0.02,0.14,0.0,8.0,nan,0.13,0.09,0.01,nan,0.06,0.03,0.02,0.14,0.0,1.0,nan,1.0,0.8999999999999999,1.0,nan,0.857142857142857,1.5,1.0,1.0,nan
17.0,640.0,54.26,41.67,0.01,nan,40.03,12.58,12.42,54.28,0.07,17.0,640.0,54.29,41.69,0.01,nan,40.05,12.59,12.43,54.3,0.07,1.0,1.0,1.000552893475857,1.0004799616030717,1.0,nan,1.0004996252810392,1.0007949125596185,1.000805152979066,1.0003684598378777,1.0
5.0,nan,0.14,0.13,0.0,nan,0.12,0.01,0.01,0.16,0.0,5.0,nan,0.15,0.14,0.0,nan,0.12,0.01,0.01,0.16,0.0,1.0,nan,1.0714285714285714,1.076923076923077,nan,nan,1.0,1.0,1.0,1.0,nan
7.0,nan,1020.17,1015.45,0.15,nan,984.77,4.47,4.47,1020.24,0.07,7.0,nan,1016.27,1011.58,0.14,nan,981.0,4.44,4.44,1016.33,0.07,1.0,nan,0.9961771077369458,0.9961888817765523,0.9333333333333335,nan,0.9961716949135331,0.993288590604027,0.993288590604027,0.9961675684152749,1.0
9.0,4.0,1797.98,1783.17,0.15,nan,1731.72,14.62,14.57,1798.04,0.17,9.0,4.0,1797.91,1783.24,0.15,nan,1731.73,14.47,14.43,1797.97,0.18,1.0,1.0,0.9999610674201048,1.0000392559318516,1.0,nan,1.0000057746055944,0.9897400820793435,0.9903912148249828,0.9999610687192722,1.0588235294117645
7.0,1.0,237.14,236.75,0.15,nan,225.53,0.18,0.16,237.2,0.01,7.0,1.0,236.94,236.56,0.15,nan,225.32,0.18,0.16,237.0,0.01,1.0,1.0,0.9991566163447753,0.9991974656810982,1.0,nan,0.9990688600186227,1.0,1.0,0.9991568296795953,1.0
41.0,1981.0,132.25,78.86,0.05,0.03,69.17,53.37,52.24,132.27,1.4,66.0,4321.0,477.15,236.13,0.08,0.05,205.07,240.98,235.59,477.16,5.26,1.6097560975609757,2.1812216052498736,3.607939508506616,2.994293685011413,1.5999999999999999,1.6666666666666667,2.9647245915859477,4.515270751358441,4.509762633996937,3.607469569819309,3.757142857142857
26.0,2.0,1764.89,1559.89,0.02,0.0,1363.42,204.96,191.09,1764.91,2.95,28.0,4.0,1762.85,1580.17,0.02,0.0,1334.24,182.64,171.39,1762.86,3.19,1.0769230769230769,2.0,0.998844120596751,1.0130009167313079,1.0,nan,0.9785979375394229,0.8911007025761123,0.8969072164948453,0.9988384676839045,1.0813559322033897
18.0,742.0,1788.91,1688.66,0.07,0.0,1545.8,100.16,98.38,1788.95,2.99,18.0,742.0,1788.84,1688.5,0.07,0.0,1545.79,100.25,98.46,1788.88,3.01,1.0,1.0,0.9999608700269996,0.9999052503168192,1.0,nan,0.9999935308578083,1.0008985623003195,1.0008131734092296,0.9999608709019258,1.0066889632107021
17.0,284.0,1788.63,1734.88,0.07,0.0,1595.1,53.67,53.08,1788.67,1.99,17.0,284.0,1788.7,1735.05,0.07,0.0,1594.98,53.56,52.98,1788.74,2.0,1.0,1.0,1.0000391360985783,1.0000979894863045,1.0,nan,0.9999247696069212,0.9979504378610025,0.9981160512434062,1.0000391352233782,1.0050251256281406
4.0,nan,0.02,0.01,0.01,nan,0.01,0.0,0.0,0.03,0.0,4.0,nan,0.02,0.01,0.01,nan,0.01,0.0,0.0,0.03,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,1.0,nan
39.0,1735.0,1784.26,1551.94,0.06,0.01,1388.75,232.25,228.58,1784.29,10.55,37.0,3167.0,1786.8,1360.04,0.09,0.04,1214.91,426.69,422.3,1786.82,14.27,0.9487179487179487,1.8253602305475505,1.001423559346732,0.876348312434759,1.5,4.0,0.8748226822682269,1.8372012917115177,1.8474932190042872,1.001417930941719,1.35260663507109
11.0,351.0,1784.55,1752.83,0.02,0.0,1669.79,31.7,29.93,1784.57,2.62,11.0,351.0,1784.5,1753.04,0.02,0.0,1669.86,31.43,29.78,1784.51,2.59,1.0,1.0,0.9999719817320893,1.0001198062561687,1.0,nan,1.0000419214392229,0.9914826498422713,0.994988306047444,0.9999663784553142,0.9885496183206106
26.0,255.0,7.02,5.08,0.01,0.0,4.39,1.93,1.9,7.03,0.04,26.0,255.0,7.07,5.13,0.01,0.0,4.44,1.93,1.89,7.08,0.04,1.0,1.0,1.0071225071225072,1.0098425196850394,1.0,nan,1.0113895216400912,1.0,0.9947368421052631,1.0071123755334281,1.0
9.0,3.0,1797.96,1785.9,0.16,0.0,1719.23,11.83,11.79,1798.04,0.17,9.0,3.0,1797.83,1785.99,0.16,0.0,1722.16,11.61,11.57,1797.89,0.16,1.0,1.0,0.9999276958330552,1.000050394758945,1.0,nan,1.0017042513218126,0.9814032121724429,0.981340118744699,0.9999165758270117,0.9411764705882353
8.0,nan,1798.05,1780.95,0.15,nan,1721.68,16.85,16.81,1798.12,0.14,8.0,nan,1797.73,1780.7,0.15,nan,1722.76,16.77,16.73,1797.79,0.14,1.0,nan,0.9998220294207614,0.9998596254807828,1.0,nan,1.0006272942707122,0.9952522255192877,0.9952409280190364,0.9998164749849844,1.0
9.0,104.0,1784.01,1780.87,0.02,nan,1695.37,3.12,3.03,1784.03,1.94,9.0,104.0,1784.21,1781.05,0.02,nan,1693.8,3.14,3.05,1784.23,1.96,1.0,1.0,1.000112106994916,1.0001010741940737,1.0,nan,0.9990739484596283,1.0064102564102564,1.0066006600660067,1.0001121057381321,1.0103092783505154
46.0,26.0,1767.14,1228.31,0.02,0.0,1095.59,538.8,521.16,1767.15,6.34,46.0,29.0,1768.06,1261.57,0.02,0.0,1112.51,506.46,488.61,1768.08,5.84,1.0,1.1153846153846154,1.0005206152313908,1.0270778549388997,1.0,nan,1.0154437335134494,0.939977728285078,0.9375431729219434,1.0005262711145064,0.9211356466876972
16.0,10.0,4.28,3.91,0.01,0.0,3.41,0.36,0.35,4.29,0.02,17.0,5.0,3.38,3.05,0.01,nan,2.66,0.32,0.31,3.39,0.01,1.0625,0.5,0.7897196261682242,0.7800511508951405,1.0,nan,0.7800586510263929,0.888888888888889,0.8857142857142858,0.7902097902097902,0.5
24.0,754.0,1788.12,1589.12,0.07,0.01,1419.44,198.92,194.07,1788.15,4.64,23.0,820.0,1787.83,1609.41,0.06,0.0,1443.78,178.34,174.89,1787.86,3.88,0.9583333333333334,1.0875331564986737,0.999837818490929,1.0127680728956907,0.857142857142857,0.0,1.017147607507186,0.896541323144983,0.9011696810429226,0.9998378212118669,0.8362068965517242
32.0,2573.0,892.34,677.85,0.09,0.06,656.99,214.45,211.88,892.36,8.28,33.0,2581.0,908.81,678.7,0.11,0.08,658.02,230.08,227.39,908.83,8.56,1.03125,1.0031092110376991,1.0184570903467287,1.001253964741462,1.2222222222222223,1.3333333333333335,1.001567755978021,1.0728841221730008,1.0732018123466112,1.018456676677574,1.033816425120773
8.0,nan,1797.76,1790.31,0.14,nan,1733.32,7.24,7.23,1797.83,0.13,8.0,nan,1797.53,1790.07,0.15,nan,1733.13,7.24,7.23,1797.6,0.13,1.0,nan,0.9998720630117479,0.9998659450039379,1.0714285714285714,nan,0.999890383772183,1.0,1.0,0.9998720679930805,1.0
9.0,8.0,6.18,4.33,0.05,0.0,3.11,1.81,1.8,6.21,0.0,12.0,9.0,9.49,4.72,0.05,0.0,3.48,4.72,4.7,9.52,0.0,1.3333333333333333,1.125,1.5355987055016183,1.090069284064665,1.0,nan,1.1189710610932477,2.6077348066298343,2.611111111111111,1.5330112721417068,nan
11.0,15.0,2.1,1.84,0.01,0.0,1.56,0.26,0.25,2.12,0.0,11.0,10.0,0.41,0.29,0.01,nan,0.22,0.11,0.11,0.43,0.0,1.0,0.6666666666666666,0.1952380952380952,0.1576086956521739,1.0,nan,0.14102564102564102,0.4230769230769231,0.44,0.20283018867924527,nan
6.0,nan,0.15,0.12,0.01,nan,0.09,0.01,0.01,0.17,0.0,6.0,nan,0.15,0.12,0.01,nan,0.09,0.01,0.01,0.16,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9411764705882353,nan
9.0,6.0,0.22,0.17,0.01,nan,0.13,0.04,0.04,0.23,0.0,9.0,6.0,0.22,0.17,0.01,nan,0.13,0.04,0.04,0.23,0.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
11.0,3.0,0.12,0.09,0.01,nan,0.07,0.02,0.02,0.14,0.0,11.0,3.0,0.12,0.09,0.01,nan,0.07,0.02,0.02,0.13,0.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9285714285714285,nan
7.0,4.0,1.17,1.07,0.02,nan,1.04,0.07,0.07,1.19,0.0,7.0,4.0,1.17,1.08,0.02,nan,1.05,0.07,0.07,1.19,0.0,1.0,1.0,1.0,1.0093457943925235,1.0,nan,1.0096153846153846,1.0,1.0,1.0,nan
10.0,44.0,7.73,7.06,0.01,0.0,6.04,0.66,0.65,7.74,0.01,16.0,37.0,1748.12,1642.68,0.01,0.0,1387.3,105.42,89.84,1748.14,2.02,1.6,0.8409090909090909,226.14747736093142,232.67422096317281,1.0,nan,229.68543046357615,159.72727272727272,138.2153846153846,225.8578811369509,202.0
8.0,nan,0.06,0.05,0.0,nan,0.04,0.0,0.0,0.07,0.0,8.0,nan,0.07,0.05,0.01,nan,0.04,0.01,0.01,0.08,0.0,1.0,nan,1.1666666666666667,1.0,nan,nan,1.0,nan,nan,1.1428571428571428,nan
16.0,3.0,0.4,0.28,0.01,nan,0.25,0.1,0.09,0.42,0.0,16.0,3.0,0.39,0.28,0.01,nan,0.25,0.09,0.08,0.41,0.0,1.0,1.0,0.975,1.0,1.0,nan,1.0,0.8999999999999999,0.888888888888889,0.9761904761904762,nan
45.0,461.0,105.64,101.21,0.03,0.01,71.89,4.42,4.24,105.66,1.14,43.0,419.0,54.27,49.58,0.03,0.02,36.8,4.69,4.53,54.28,1.0,0.9555555555555556,0.9088937093275488,0.5137258614161303,0.4898725422389092,1.0,2.0,0.5118931701210182,1.0610859728506787,1.0683962264150944,0.513723263297369,0.8771929824561404
2.0,nan,0.02,0.0,0.02,nan,0.0,0.0,nan,0.04,nan,2.0,nan,0.02,0.0,0.02,nan,0.0,0.0,nan,0.04,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan
30.0,440.0,243.54,141.03,0.07,0.0,117.21,102.43,102.17,243.57,0.14,31.0,408.0,188.83,102.99,0.07,0.0,85.42,85.75,85.6,188.86,0.1,1.0333333333333334,0.9272727272727272,0.7753551777942023,0.7302701552861093,1.0,nan,0.7287774080709838,0.8371570828858732,0.8378193207399431,0.7753828468202161,0.7142857142857143
15.0,4.0,0.08,0.05,0.0,0.0,0.04,0.02,0.02,0.09,0.0,15.0,4.0,0.08,0.05,0.01,0.0,0.03,0.02,0.02,0.09,0.0,1.0,1.0,1.0,1.0,nan,nan,0.75,1.0,1.0,1.0,nan
7.0,nan,0.33,0.29,0.01,nan,0.25,0.02,0.02,0.35,0.0,7.0,nan,0.34,0.29,0.01,nan,0.25,0.02,0.02,0.36,0.0,1.0,nan,1.0303030303030303,1.0,1.0,nan,1.0,1.0,1.0,1.0285714285714287,nan
2.0,nan,0.02,0.0,0.02,nan,0.0,0.0,nan,0.04,nan,2.0,nan,0.02,0.0,0.02,nan,0.0,0.0,nan,0.04,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan
12.0,nan,0.37,0.33,0.01,nan,0.29,0.03,0.03,0.39,0.0,12.0,nan,0.37,0.33,0.0,nan,0.29,0.03,0.03,0.39,0.0,1.0,nan,1.0,1.0,0.0,nan,1.0,1.0,1.0,1.0,nan
14.0,34.0,3.16,2.94,0.02,0.0,2.82,0.19,0.18,3.18,0.0,14.0,34.0,3.16,2.96,0.02,0.0,2.83,0.18,0.18,3.18,0.0,1.0,1.0,1.0,1.0068027210884354,1.0,nan,1.0035460992907803,0.9473684210526315,1.0,1.0,nan
23.0,314.0,77.36,50.06,0.05,0.0,41.72,27.25,27.15,77.39,0.05,25.0,247.0,63.21,39.89,0.05,0.0,33.03,23.26,23.18,63.24,0.05,1.0869565217391304,0.7866242038216561,0.8170889348500517,0.7968437874550539,1.0,nan,0.791706615532119,0.8535779816513762,0.8537753222836096,0.8171598397725804,1.0
2.0,nan,0.04,0.01,0.03,nan,0.01,0.0,nan,0.07,nan,2.0,nan,0.04,0.01,0.03,nan,0.01,0.0,nan,0.07,nan,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,1.0,nan
9.0,71.0,2.22,2.15,0.01,nan,1.69,0.05,0.05,2.23,0.0,9.0,7.0,0.51,0.48,0.01,nan,0.36,0.02,0.02,0.53,0.0,1.0,0.09859154929577464,0.22972972972972971,0.22325581395348837,1.0,nan,0.21301775147928995,0.39999999999999997,0.39999999999999997,0.2376681614349776,nan
6.0,5.0,0.41,0.36,0.01,nan,0.34,0.03,0.03,0.42,0.0,6.0,5.0,0.41,0.36,0.01,nan,0.35,0.03,0.03,0.43,0.0,1.0,1.0,1.0,1.0,1.0,nan,1.0294117647058822,1.0,1.0,1.0238095238095237,nan
28.0,nan,1798.01,1502.09,0.12,nan,1427.24,295.74,294.95,1798.05,0.55,23.0,1115.0,1149.8,952.65,0.12,nan,902.55,196.98,196.53,1149.85,0.3,0.8214285714285714,nan,0.6394847637109916,0.6342163252534802,1.0,nan,0.6323743729155573,0.6660580239399472,0.6663163248008137,0.6394983454297711,0.5454545454545454
