source,target
"719","24"
"357","24"
"1272","420"
"1646","24"
"556","24"
"555","24"
"363","24"
"584","24"
"550","526"
"981","24"
"140","135"
"897","24"
"1016","1008"
"1054","24"
"1388","206"
"539","24"
"536","24"
"534","24"
"1116","24"
"533","24"
"359","24"
"354","24"
"532","24"
"1763","554"
"531","24"
"722","24"
"233","206"
"527","24"
"837","24"
"570","24"
"1394","2180"
"1394","206"
"1097","990"
"1585","554"
"1069","990"
"521","24"
"301","295"
"668","24"
"1072","990"
"548","24"
"725","24"
"940","24"
"518","24"
"797","24"
"516","24"
"1482","24"
"2004","24"
"1700","24"
"985","24"
"513","500"
"511","24"
"887","24"
"1291","420"
"509","24"
"503","24"
"501","24"
"540","24"
"923","865"
"499","24"
"1406","24"
"621","24"
"699","24"
"498","24"
"497","496"
"1051","24"
"495","48"
"1987","24"
"494","24"
"494","48"
"1501","990"
"132","24"
"1331","24"
"224","48"
"212","24"
"487","24"
"1752","420"
"522","500"
"485","24"
"2103","24"
"482","24"
"479","24"
"1883","1881"
"806","24"
"22","24"
"22","21"
"1259","24"
"772","554"
"769","554"
"349","24"
"477","24"
"476","24"
"552","24"
"762","24"
"523","24"
"1464","24"
"472","24"
"705","24"
"2023","24"
"196","195"
"471","24"
"465","463"
"470","208"
"514","24"
"467","24"
"2043","24"
"1790","24"
"978","916"
"466","24"
"1298","24"
"1633","1008"
"1267","24"
"463","208"
"538","24"
"1705","24"
"306","294"
"1184","24"
"458","24"
"458","48"
"1546","24"
"456","24"
"455","24"
"1508","24"
"1754","420"
"1534","24"
"623","24"
"853","24"
"440","206"
"641","24"
"2205","24"
"101","24"
"436","24"
"1729","420"
"958","916"
"1166","24"
"1095","24"
"435","24"
"716","24"
"1021","990"
"1220","24"
"1708","24"
"578","24"
"1112","24"
"1413","24"
"432","24"
"430","206"
"1923","24"
"1416","24"
"429","206"
"426","24"
"56","24"
"423","24"
"452","48"
"420","206"
"729","24"
"297","295"
"2019","24"
"415","206"
"75","24"
"587","24"
"413","24"
"412","206"
"410","313"
"427","24"
"833","554"
"685","24"
"562","24"
"2154","24"
"98","24"
"1531","24"
"2092","24"
"1211","1210"
"191","883"
"191","189"
"401","294"
"1458","24"
"120","24"
"565","24"
"1254","420"
"93","24"
"1175","24"
"1369","24"
"1104","24"
"1630","990"
"142","135"
"752","24"
"1286","24"
"112","24"
"249","24"
"655","24"
"525","500"
"1086","24"
"572","24"
"373","24"
"650","24"
"740","24"
"178","883"
"178","172"
"810","24"
"1480","24"
"673","554"
"314","24"
"1470","990"
"953","24"
"1188","24"
"644","24"
"515","500"
"263","24"
"541","24"
"574","24"
"876","24"
"288","24"
"329","48"
"830","24"
"1065","24"
"1354","420"
"616","24"
"686","24"
"2176","24"
"216","24"
"1642","24"
"770","554"
"1391","206"
"728","24"
"162","870"
"162","488"
"162","161"
"162","172"
"1523","24"
"922","24"
"160","148"
"624","24"
"648","24"
"504","500"
"236","24"
"1886","24"
"159","48"
"144","24"
"1087","24"
"276","24"
"484","24"
"49","48"
"192","883"
"192","189"
"1804","24"
"157","24"
"596","24"
"1316","24"
"199","204"
"199","198"
"748","24"
"150","96"
"630","24"
"421","420"
"1449","24"
"146","24"
"549","24"
"257","24"
"1082","990"
"1830","1800"
"171","870"
"171","170"
"171","206"
"1448","24"
"1483","24"
"174","870"
"174","172"
"819","24"
"1455","24"
"1579","24"
"593","24"
"1703","24"
"131","24"
"758","24"
"688","24"
"937","24"
"1287","420"
"2024","24"
"780","554"
"125","24"
"2190","24"
"815","554"
"2203","24"
"490","24"
"134","85"
"724","24"
"283","24"
"2169","24"
"194","24"
"194","193"
"977","865"
"1695","24"
"307","306"
"1235","24"
"702","24"
"111","96"
"347","24"
"1059","24"
"138","135"
"744","24"
"1261","420"
"137","135"
"404","24"
"106","96"
"308","306"
"469","24"
"402","306"
"1542","1008"
"181","883"
"181","172"
"1507","24"
"607","24"
"5","24"
"5","0"
"573","24"
"1349","420"
"327","204"
"147","48"
"1216","24"
"274","24"
"1819","24"
"475","24"
"383","24"
"1911","1757"
"608","24"
"737","24"
"334","48"
"1142","24"
"1205","24"
"1573","24"
"438","24"
"822","24"
"478","24"
"1337","24"
"311","24"
"543","24"
"996","24"
"303","24"
"2038","24"
"481","24"
"1158","24"
"2082","24"
"1604","24"
"1710","24"
"1661","990"
"801","554"
"1679","24"
"1863","24"
"42","12"
"156","24"
"764","24"
"385","24"
"1967","24"
"158","24"
"35","24"
"35","0"
"260","24"
"1813","24"
"232","48"
"179","883"
"179","172"
"33","24"
"33","0"
"778","554"
"1277","420"
"4","24"
"4","0"
"1299","420"
"100","24"
"676","554"
"88","24"
"1182","24"
"325","48"
"920","865"
"749","554"
"507","24"
"58","24"
"31","0"
"139","135"
"15","12"
"268","24"
"1408","24"
"367","24"
"646","24"
"287","24"
"39","12"
"281","206"
"1233","420"
"1658","24"
"28","0"
"992","24"
"1237","24"
"2101","24"
"1814","24"
"43","12"
"128","24"
"310","24"
"1660","990"
"45","12"
"1089","990"
"1177","24"
"2054","24"
"730","24"
"90","24"
"742","24"
"491","24"
"1730","420"
"225","206"
"342","24"
"54","24"
"1953","24"
"1631","990"
"40","12"
"689","24"
"961","865"
"29","24"
"29","0"
"697","24"
"23","21"
"714","24"
"1989","24"
"576","24"
"1870","24"
"710","24"
"153","24"
"1192","24"
"1490","24"
"664","24"
"502","500"
"175","883"
"175","172"
"1322","24"
"197","195"
"1231","24"
"425","24"
"73","24"
"302","24"
"792","24"
"300","295"
"1616","865"
"1251","420"
"1280","24"
"6","24"
"6","0"
"155","24"
"473","24"
"1728","420"
"796","554"
"127","24"
"1377","24"
"20","12"
"416","48"
"1308","420"
"1666","24"
"143","135"
"149","85"
"615","24"
"998","990"
"602","24"
"286","24"
"85","48"
"221","48"
"600","24"
"135","85"
"1475","24"
"105","24"
"380","24"
"586","24"
"32","0"
"1319","24"
"681","24"
"803","554"
"1407","24"
"560","554"
"1046","24"
"1684","24"
"319","313"
"856","24"
"785","554"
"999","24"
"1412","24"
"1562","24"
"529","526"
"547","526"
"328","48"
"631","24"
"38","12"
"18","12"
"1494","24"
"1236","420"
"145","24"
"821","24"
"102","24"
"136","135"
"237","24"
"375","24"
"972","24"
"1799","1374"
"1042","24"
"41","12"
"861","554"
"786","554"
"1389","24"
"774","554"
"1812","24"
"1180","24"
"3","24"
"3","0"
"1153","24"
"1653","24"
"1367","1357"
"119","24"
"241","24"
"904","24"
"2040","24"
"16","12"
"72","24"
"188","496"
"188","187"
"130","24"
"1241","24"
"506","24"
"747","24"
"396","24"
"580","24"
"692","24"
"154","24"
"422","420"
"703","24"
"625","24"
"1265","24"
"1685","24"
"80","24"
"1707","24"
"231","48"
"684","24"
"1689","24"
"1463","24"
"394","24"
"873","24"
"123","24"
"14","12"
"278","206"
"818","24"
"391","24"
"1591","554"
"247","24"
"1395","24"
"443","24"
"19","24"
"19","12"
"53","51"
"222","48"
"121","24"
"48","865"
"48","493"
"48","204"
"48","206"
"48","313"
"1459","24"
"545","24"
"295","294"
"1092","1008"
"318","24"
"1201","24"
"61","24"
"69","24"
"52","51"
"1650","24"
"519","500"
"1704","24"
"64","24"
"57","24"
"230","48"
"1001","24"
"273","24"
"652","24"
"99","24"
"1005","24"
"1528","24"
"1359","24"
"1682","24"
"773","554"
"358","24"
"293","206"
"709","24"
"1249","24"
"1352","24"
"1567","526"
"116","24"
"34","24"
"34","0"
"955","24"
"713","24"
"229","48"
"903","24"
"177","883"
"177","176"
"784","554"
"290","206"
"1931","24"
"1898","24"
"377","24"
"2088","24"
"669","24"
"1117","24"
"251","24"
"141","135"
"1093","24"
"36","24"
"36","0"
"474","24"
"781","554"
"612","24"
"890","24"
"1426","24"
"1067","24"
"468","24"
"993","24"
"77","24"
"200","198"
"200","24"
"200","866"
"285","24"
"67","24"
"991","24"
"151","24"
"647","24"
"1183","24"
"962","24"
"117","24"
"1736","420"
"811","554"
"564","24"
"7","24"
"7","0"
"1185","24"
"1582","554"
"133","85"
"1530","24"
"799","24"
"407","24"
"292","24"
"309","294"
"2013","24"
"70","24"
"633","24"
"371","24"
"59","24"
"480","24"
"1129","24"
"246","24"
"775","554"
"2119","24"
"74","24"
"751","554"
"9","24"
"9","0"
"1456","24"
"13","12"
"55","24"
"124","24"
"76","24"
"414","24"
"205","865"
"205","204"
"431","206"
"417","24"
"1195","24"
"89","24"
"62","24"
"433","24"
"2174","24"
"2139","24"
"2113","24"
"250","24"
"1598","24"
"152","24"
"323","48"
"860","554"
"1437","24"
"203","883"
"203","201"
"1852","1849"
"1344","24"
"642","24"
"259","24"
"1721","24"
"2078","24"
"173","870"
"173","172"
"173","24"
"542","24"
"1080","24"
"240","24"
"266","24"
"1328","24"
"210","24"
"626","24"
"351","24"
"1107","24"
"695","24"
"760","24"
"335","48"
"2099","24"
"1488","24"
"618","24"
"1757","1909"
"1757","1357"
"180","870"
"180","172"
"275","206"
"214","24"
"682","24"
"24","2180"
"24","1966"
"24","1959"
"24","1842"
"24","420"
"24","1210"
"24","1008"
"24","1857"
"24","483"
"24","397"
"24","313"
"24","1839"
"24","870"
"24","1909"
"24","206"
"24","24"
"24","883"
"24","51"
"24","85"
"24","1949"
"24","916"
"24","208"
"24","96"
"24","1800"
"24","48"
"24","2195"
"24","1895"
"24","486"
"24","1884"
