source,target
"11","24"
"11","0"
"1529","24"
"1533","24"
"1699","24"
"1538","24"
"1360","24"
"1539","24"
"1541","24"
"1543","990"
"1926","24"
"1545","24"
"1547","24"
"350","24"
"1615","865"
"1549","24"
"1550","24"
"1289","24"
"976","24"
"1553","420"
"1393","24"
"1557","483"
"1558","488"
"1446","24"
"1559","500"
"1560","24"
"1074","990"
"987","865"
"1568","24"
"1569","526"
"634","24"
"1570","526"
"332","48"
"871","24"
"1571","554"
"1574","24"
"126","24"
"1576","24"
"1577","24"
"1663","990"
"1578","554"
"1584","554"
"1586","554"
"2120","24"
"321","313"
"1588","554"
"1595","24"
"1596","24"
"1600","24"
"1603","865"
"1605","24"
"1607","865"
"1608","865"
"1869","24"
"378","24"
"1610","24"
"1252","24"
"1613","24"
"1621","865"
"571","24"
"372","24"
"1622","865"
"832","24"
"1623","24"
"1624","24"
"1625","1008"
"1629","24"
"1634","990"
"1635","990"
"1637","990"
"1640","24"
"1643","24"
"1644","24"
"291","24"
"1645","24"
"1647","24"
"1738","420"
"1651","24"
"1652","24"
"1654","24"
"1206","24"
"1432","24"
"1657","24"
"406","48"
"1662","990"
"2201","24"
"1902","24"
"1665","24"
"2073","24"
"927","24"
"1667","24"
"2053","24"
"1671","24"
"1672","24"
"1674","24"
"1963","24"
"254","24"
"1675","24"
"1680","24"
"104","24"
"1683","24"
"1723","1210"
"1687","24"
"1688","24"
"1692","24"
"1693","24"
"2015","24"
"1696","24"
"1415","24"
"1697","24"
"1698","24"
"114","24"
"1701","24"
"1718","24"
"1709","24"
"2179","24"
"1713","24"
"1714","24"
"1716","24"
"1717","24"
"1720","24"
"1727","420"
"1732","420"
"1350","420"
"1734","420"
"1735","24"
"280","24"
"1740","24"
